CI_Name,CI_Cat,CI_Subcat,Incident_ID,Status,Impact,Urgency,Priority,Category,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,No_of_Related_Incidents,No_of_Related_Changes,Region,Network_Type,Incident Description,Was_Reopened
SUB000508,subapplication,Web Based Application,IM0000004,Closed,4,4,4.0,incident,closed,26.0,05-02-2012 13:32,,04-11-2013 13:50,04-11-2013 13:51,"3,87,16,91,111",Other,1.0,2.0,,EMEA,Mobile Core,ticket reassigned across multiple teams | requires infrastructure verification | critical operational issue detected | impacting subapplication services | ongoing operational activity observed | Mobile Core intermittent wireless instability observed,0
WBA000124,application,Web Based Application,IM0000005,Closed,3,3,3.0,incident,closed,33.0,12-03-2012 15:44,02-12-2013 12:31,02-12-2013 12:36,02-12-2013 12:36,"4,35,47,86,389",Software,1.0,1.0,,APAC,Core Network,issue under telecom investigation | ongoing operational activity observed | impacting application services | network degradation impacting enterprise traffic | ticket reassigned across multiple teams | Core Network service degradation impacting users,1
DTA000024,application,Desktop Application,IM0000006,Closed,NS,3,,request for information,closed,3.0,29-03-2012 12:36,,13-01-2014 15:12,13-01-2014 15:13,"4,84,31,19,444",No error - works as designed,1.0,,,NAM,Fiber Network,service instability reported | telecom ticket under investigation | Fiber Network routing instability detected in network | further network analysis required | impacting application services,0
WBA000124,application,Web Based Application,IM0000011,Closed,4,4,4.0,incident,closed,13.0,17-07-2012 11:49,,14-11-2013 09:31,14-11-2013 09:31,"4,32,18,33,333",Operator error,1.0,,,EMEA,Core Network,impacting application services | ticket reassigned across multiple teams | further network analysis required | requesting update regarding ongoing issue | ongoing operational activity observed | Core Network network slowdown affecting enterprise traffic,0
WBA000124,application,Web Based Application,IM0000012,Closed,4,4,4.0,incident,closed,2.0,10-08-2012 11:01,,08-11-2013 13:55,08-11-2013 13:55,"3,38,39,03,333",Other,1.0,,,APAC,Fiber Network,network operations monitoring update | Fiber Network routing instability detected in network | further network analysis required | critical operational issue detected | impacting application services,0
WBA000124,application,Web Based Application,IM0000013,Closed,4,4,4.0,incident,closed,4.0,10-08-2012 11:27,,08-11-2013 13:54,08-11-2013 13:54,"3,38,34,36,944",Other,1.0,,,EMEA,Fiber Network,impacting application services | Fiber Network traffic congestion affecting node performance | clarification needed for ongoing connectivity issue | telecom ticket under investigation | issue under telecom investigation,0
WBA000082,application,Web Based Application,IM0000014,Closed,4,4,4.0,incident,closed,2.0,15-08-2012 14:17,,27-12-2013 10:59,27-12-2013 10:59,"3,70,31,91,389",Unknown,1.0,,,EMEA,5G Network,urgent investigation required for telecom disruption | impacting application services | telecom workflow activity detected | monitoring ongoing service issue | 5G Network packet loss affecting telecom traffic,0
WBA000124,application,Web Based Application,IM0000015,Closed,4,4,4.0,incident,closed,5.0,22-08-2012 16:31,,08-11-2013 14:09,08-11-2013 14:09,"3,29,46,24,167",Other,1.0,,,APAC,Wireless Network,impacting application services | Wireless Network network slowdown affecting enterprise traffic | request raised for outage escalation support | requires infrastructure verification | telecom workflow activity detected,0
WBA000124,application,Web Based Application,IM0000017,Closed,NS,3,,incident,closed,2.0,29-08-2012 15:59,,08-11-2013 14:02,08-11-2013 14:02,"0,862777778",Other,1.0,,,NAM,VPN Service,telecom workflow activity detected | VPN Service vpn disruption affecting connectivity | ticket escalated to telecom support | telecom disruption identified | impacting application services,0
WBA000082,application,Web Based Application,IM0000018,Closed,4,4,4.0,incident,closed,2.0,03-09-2012 16:04,,08-11-2013 14:33,08-11-2013 14:35,"3,21,15,26,944",No error - works as designed,1.0,,,NAM,Fiber Network,Fiber Network connectivity fluctuations under investigation | network operations monitoring update | issue under telecom investigation | critical operational issue detected | impacting application services,0
WBA000124,application,Web Based Application,IM0000019,Closed,4,4,4.0,incident,closed,6.0,21-09-2012 12:56,,08-11-2013 14:23,08-11-2013 14:23,"3,06,74,49,167",Software,1.0,,1.0,APAC,VPN Service,ongoing operational activity observed | VPN Service connectivity fluctuations under investigation | impacting application services | ticket escalated to telecom support | telecom disruption identified,0
WBA000124,application,Web Based Application,IM0000020,Closed,4,4,4.0,incident,closed,8.0,01-10-2012 10:49,,08-11-2013 14:18,08-11-2013 14:22,"1,32,26,19,167",Software,1.0,,,NAM,Wireless Network,ongoing operational activity observed | request raised for outage escalation support | engineering review in progress | impacting application services | Wireless Network intermittent wireless instability observed,0
WBA000082,application,Web Based Application,IM0000021,Closed,4,4,4.0,incident,closed,5.0,02-10-2012 12:12,28-01-2014 14:07,04-02-2014 09:38,04-02-2014 09:38,"1,13,24,28,333",Software,2.0,,,APAC,VPN Service,network operations monitoring update | urgent investigation required for telecom disruption | impacting application services | VPN Service intermittent wireless instability observed | issue under telecom investigation,1
WBA000124,application,Web Based Application,IM0000022,Closed,4,4,4.0,incident,closed,17.0,15-10-2012 15:50,,,14-11-2013 13:33,"6,67,54,16,667",Software,1.0,2.0,,APAC,5G Network,network issue impacting operations | telecom workflow activity detected | impacting application services | issue under telecom investigation | ticket reassigned across multiple teams | 5G Network routing instability detected in network,0
SBA000698,application,Server Based Application,IM0000023,Closed,3,3,3.0,incident,closed,1.0,18-10-2012 14:33,,12-12-2013 10:23,12-12-2013 10:24,"3,11,43,58,056",Data,1.0,,,EMEA,VPN Service,active outage affecting telecom services | ticket escalated to telecom support | telecom ticket under investigation | impacting application services | VPN Service network latency impacting operations,0
WBA000082,application,Web Based Application,IM0000024,Closed,4,4,4.0,incident,closed,3.0,23-10-2012 12:01,,08-11-2013 14:57,08-11-2013 14:58,"2,83,79,50,556",Other,1.0,2.0,,EMEA,5G Network,impacting application services | 5G Network service degradation impacting users | urgent investigation required for telecom disruption | network operations monitoring update | monitoring ongoing service issue,0
SUB000539,subapplication,Web Based Application,IM0000028,Closed,4,4,4.0,incident,closed,1.0,21-11-2012 11:53,,20-12-2013 11:30,20-12-2013 11:31,"1,22,37,48,333",Other,1.0,,,EMEA,5G Network,impacting subapplication services | issue under telecom investigation | critical operational issue detected | 5G Network intermittent wireless instability observed | telecom ticket under investigation,0
SUB000535,subapplication,Web Based Application,IM0000031,Closed,4,4,4.0,incident,closed,7.0,05-12-2012 15:17,,30-10-2013 08:45,30-10-2013 08:45,"3,79,27,77,778",Unknown,1.0,,,APAC,Wireless Network,request raised for outage escalation support | telecom ticket under investigation | Wireless Network network slowdown affecting enterprise traffic | impacting subapplication services | awaiting operational confirmation,0
DTA000616,application,Desktop Application,IM0000033,Closed,3,3,3.0,incident,closed,17.0,07-12-2012 14:34,,30-11-2013 10:39,30-11-2013 10:39,"2,62,67,33,889",Other,2.0,,,NAM,VPN Service,issue under telecom investigation | telecom ticket under investigation | ticket reassigned across multiple teams | VPN Service connectivity fluctuations under investigation | impacting application services | active outage affecting telecom services,0
WBA000082,application,Web Based Application,IM0000034,Closed,5,5,5.0,incident,closed,5.0,10-12-2012 14:44,11-02-2014 14:50,28-03-2014 14:20,28-03-2014 14:20,"9,31,78,08,333",Other,2.0,,,EMEA,Core Network,monitoring ongoing service issue | network issue impacting operations | impacting application services | ongoing operational activity observed | Core Network traffic congestion affecting node performance,1
WBA000124,application,Web Based Application,IM0000035,Closed,4,4,4.0,incident,closed,6.0,24-12-2012 16:31,,14-11-2013 09:49,14-11-2013 09:49,"1,93,04,83,333",Referred,1.0,2.0,,APAC,Wireless Network,critical operational issue detected | telecom ticket under investigation | Wireless Network vpn disruption affecting connectivity | impacting application services | awaiting operational confirmation,0
WBA000116,application,Web Based Application,IM0000038,Closed,4,4,4.0,incident,closed,4.0,15-01-2013 15:36,,29-01-2014 15:01,29-01-2014 15:01,"2,78,19,11,944",Software,1.0,1.0,,EMEA,Core Network,requires infrastructure verification | Core Network network slowdown affecting enterprise traffic | telecom ticket under investigation | impacting application services | network issue impacting operations,0
WBA000124,application,Web Based Application,IM0000041,Closed,4,4,4.0,incident,closed,2.0,22-01-2013 16:38,,08-11-2013 14:55,08-11-2013 14:55,"2,15,07,85,833",Other,1.0,,,EMEA,Mobile Core,ongoing operational activity observed | ticket escalated to telecom support | network issue impacting operations | Mobile Core telecom outage impacting regional services | impacting application services,0
WBA000124,application,Web Based Application,IM0000042,Closed,4,4,4.0,incident,closed,12.0,23-01-2013 14:39,,08-11-2013 15:21,08-11-2013 15:22,"2,14,27,12,778",No error - works as designed,1.0,,,LATAM,Mobile Core,ongoing operational activity observed | ticket reassigned across multiple teams | requires infrastructure verification | Mobile Core connectivity fluctuations under investigation | impacting application services | request raised for outage escalation support,0
SUB000535,subapplication,Web Based Application,IM0000045,Closed,4,4,4.0,incident,closed,7.0,30-01-2013 16:37,,27-01-2014 12:33,27-01-2014 12:33,"11,18,525",Software,1.0,,,NAM,Fiber Network,service instability reported | Fiber Network network latency impacting operations | impacting subapplication services | engineering review in progress | telecom workflow activity detected,0
SUB000535,subapplication,Web Based Application,IM0000046,Closed,4,4,4.0,incident,closed,3.0,31-01-2013 17:27,,12-02-2014 09:05,12-02-2014 09:05,"2,76,06,06,389",Other,1.0,1.0,,NAM,Mobile Core,telecom disruption identified | network operations monitoring update | monitoring ongoing service issue | impacting subapplication services | Mobile Core connectivity fluctuations under investigation,0
WBA000082,application,Web Based Application,IM0000047,Closed,4,4,4.0,incident,closed,4.0,04-02-2013 14:38,,02-01-2014 15:22,02-01-2014 15:22,"2,44,72,33,889",Other,1.0,,,NAM,Core Network,awaiting operational confirmation | telecom ticket under investigation | critical operational issue detected | Core Network routing instability detected in network | impacting application services,0
SBA000662,application,Server Based Application,IM0000048,Closed,5,5,5.0,request for information,closed,0.0,06-02-2013 14:07,17-10-2013 12:22,17-10-2013 14:00,17-10-2013 14:00,"3,88,55,55,556",No error - works as designed,2.0,,,APAC,Mobile Core,awaiting operational confirmation | impacting application services | telecom workflow activity detected | clarification needed for ongoing connectivity issue | Mobile Core packet loss affecting telecom traffic,1
SBA000607,application,Server Based Application,IM0000049,Closed,5,5,5.0,request for information,closed,11.0,08-02-2013 10:47,,17-10-2013 15:40,17-10-2013 15:40,"1,85,28,81,944",Other,1.0,,,LATAM,5G Network,ticket reassigned across multiple teams | telecom workflow activity detected | 5G Network connectivity fluctuations under investigation | need clarification regarding service behavior | ticket escalated to telecom support | impacting application services,0
SBA000263,application,Server Based Application,IM0000053,Closed,5,5,5.0,request for information,closed,2.0,18-02-2013 11:59,04-12-2013 13:58,,04-12-2013 14:00,"2,77,45,55,556",Other,2.0,,,APAC,Core Network,monitoring ongoing service issue | guidance required regarding network instability | telecom workflow activity detected | Core Network packet loss affecting telecom traffic | impacting application services,1
WBA000124,application,Web Based Application,IM0000055,Closed,4,4,4.0,incident,closed,9.0,19-02-2013 11:52,,23-12-2013 13:03,23-12-2013 13:04,"2050,36",Other,1.0,,,NAM,VPN Service,telecom disruption identified | telecom ticket under investigation | VPN Service vpn disruption affecting connectivity | impacting application services | monitoring ongoing service issue,0
WBA000124,application,Web Based Application,IM0000056,Closed,4,4,4.0,incident,closed,2.0,20-02-2013 10:14,,08-11-2013 13:56,08-11-2013 13:57,"1,93,57,10,556",Other,1.0,,,EMEA,Mobile Core,Mobile Core intermittent wireless instability observed | telecom ticket under investigation | impacting application services | requires infrastructure verification | telecom disruption identified,0
SUB000433,subapplication,Web Based Application,IM0000057,Closed,4,4,4.0,incident,closed,1.0,25-02-2013 16:03,,12-03-2014 10:15,12-03-2014 10:16,"2,76,46,33,056",Other,3.0,,,EMEA,Fiber Network,ticket escalated to telecom support | Fiber Network routing instability detected in network | network operations monitoring update | impacting subapplication services | critical operational issue detected,0
