CI_Name,CI_Cat,CI_Subcat,Incident_ID,Status,Impact,Urgency,Priority,Category,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,No_of_Related_Incidents,No_of_Related_Changes,Region,Network_Type,Incident Description,Was_Reopened,Open_Month,Open_DayOfWeek,Open_Hour,Resolution_Time_Hours
SUB000508,subapplication,Web Based Application,IM0000004,Closed,4,4,4.0,incident,closed,26.0,2012-02-05 13:32:00,,2013-11-04 13:50:00,2013-11-04 13:51:00,,Other,1.0,2.0,,EMEA,Mobile Core,ticket reassigned across multiple teams | requires infrastructure verification | critical operational issue detected | impacting subapplication services | ongoing operational activity observed | Mobile Core intermittent wireless instability observed,0,2,Sunday,13,15312.316666666668
WBA000124,application,Web Based Application,IM0000005,Closed,3,3,3.0,incident,closed,33.0,2012-03-12 15:44:00,2013-12-02 12:31:00,2013-12-02 12:36:00,2013-12-02 12:36:00,,Software,1.0,1.0,,APAC,Core Network,issue under telecom investigation | ongoing operational activity observed | impacting application services | network degradation impacting enterprise traffic | ticket reassigned across multiple teams | Core Network service degradation impacting users,1,3,Monday,15,15116.866666666667
DTA000024,application,Desktop Application,IM0000006,Closed,,3,,request for information,closed,3.0,2012-03-29 12:36:00,,2014-01-13 15:12:00,2014-01-13 15:13:00,,No error - works as designed,1.0,,,NAM,Fiber Network,service instability reported | telecom ticket under investigation | Fiber Network routing instability detected in network | further network analysis required | impacting application services,0,3,Thursday,12,15722.616666666667
WBA000124,application,Web Based Application,IM0000011,Closed,4,4,4.0,incident,closed,13.0,2012-07-17 11:49:00,,2013-11-14 09:31:00,2013-11-14 09:31:00,,Operator error,1.0,,,EMEA,Core Network,impacting application services | ticket reassigned across multiple teams | further network analysis required | requesting update regarding ongoing issue | ongoing operational activity observed | Core Network network slowdown affecting enterprise traffic,0,7,Tuesday,11,11637.7
WBA000124,application,Web Based Application,IM0000012,Closed,4,4,4.0,incident,closed,2.0,2012-08-10 11:01:00,,2013-11-08 13:55:00,2013-11-08 13:55:00,,Other,1.0,,,APAC,Fiber Network,network operations monitoring update | Fiber Network routing instability detected in network | further network analysis required | critical operational issue detected | impacting application services,0,8,Friday,11,10922.9
WBA000124,application,Web Based Application,IM0000013,Closed,4,4,4.0,incident,closed,4.0,2012-08-10 11:27:00,,2013-11-08 13:54:00,2013-11-08 13:54:00,,Other,1.0,,,EMEA,Fiber Network,impacting application services | Fiber Network traffic congestion affecting node performance | clarification needed for ongoing connectivity issue | telecom ticket under investigation | issue under telecom investigation,0,8,Friday,11,10922.45
WBA000082,application,Web Based Application,IM0000014,Closed,4,4,4.0,incident,closed,2.0,2012-08-15 14:17:00,,2013-12-27 10:59:00,2013-12-27 10:59:00,,Unknown,1.0,,,EMEA,5G Network,urgent investigation required for telecom disruption | impacting application services | telecom workflow activity detected | monitoring ongoing service issue | 5G Network packet loss affecting telecom traffic,0,8,Wednesday,14,11972.7
WBA000124,application,Web Based Application,IM0000015,Closed,4,4,4.0,incident,closed,5.0,2012-08-22 16:31:00,,2013-11-08 14:09:00,2013-11-08 14:09:00,,Other,1.0,,,APAC,Wireless Network,impacting application services | Wireless Network network slowdown affecting enterprise traffic | request raised for outage escalation support | requires infrastructure verification | telecom workflow activity detected,0,8,Wednesday,16,10629.633333333333
WBA000124,application,Web Based Application,IM0000017,Closed,,3,,incident,closed,2.0,2012-08-29 15:59:00,,2013-11-08 14:02:00,2013-11-08 14:02:00,0.862777778,Other,1.0,,,NAM,VPN Service,telecom workflow activity detected | VPN Service vpn disruption affecting connectivity | ticket escalated to telecom support | telecom disruption identified | impacting application services,0,8,Wednesday,15,10462.05
WBA000082,application,Web Based Application,IM0000018,Closed,4,4,4.0,incident,closed,2.0,2012-09-03 16:04:00,,2013-11-08 14:33:00,2013-11-08 14:35:00,,No error - works as designed,1.0,,,NAM,Fiber Network,Fiber Network connectivity fluctuations under investigation | network operations monitoring update | issue under telecom investigation | critical operational issue detected | impacting application services,0,9,Monday,16,10342.516666666666
